,ProductName,ProductPrice,ProductDiscount
167,Puma level IDP Sneakers For Men,"₹4,299","₹2,004"
168,Smash V2 Buck Sneakers For Men,"₹4,499","₹2,788"
169,BMW MMS Neo Cat Mid 2.0 Casuals For Men,"₹7,999","₹4,399"
170,Disperse XT 3 Knit Training & Gym Shoes For Men,"₹5,999","₹3,599"
171,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,960"
172,X-Ray 2 Square Casuals For Men,"₹7,999","₹4,399"
173,Tour Running Shoes For Men,"₹4,499","₹2,159"
174,Cricket Active Cricket Shoes For Men,"₹4,999","₹2,350"
175,Fire run Sneakers For Men,"₹2,999","₹1,649"
176,Explore Nitro Running Shoes For Men,"₹10,999","₹7,149"
177,Lite Pro v2 Casuals For Men,"₹3,999","₹1,799"
178,Supreme Comfort Training & Gym Shoes For Men,"₹2,699","₹1,484"
179,Glory Sneakers For Men,"₹2,999","₹1,799"
180,PUMA R78 SL Sneakers For Men,"₹4,999","₹2,999"
181,Puma Exotine 2.0 IDP Running Shoes For Men,"₹3,999","₹4,999"
182,Zod Runner V3 IDP Casuals For Men,"₹4,499","₹1,199"
183,Puma Vellfire Sneakers For Men,"₹6,499","₹2,339"
184,Shuffle One8 V3 Better Sneakers For Men,"₹4,999","₹3,574"
185,Cricket Active Cricket Shoes For Men,"₹3,999","₹2,381"
186,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,947"
187,Zod Runner V3 IDP Casuals For Men,"₹4,999","₹2,399"
188,Puma Rungryp Sneakers For Men,"₹6,999","₹2,350"
189,Scuderia Ferrari Caven 2.0 Neon Casuals For Men,"₹3,299","₹3,849"
190,Exotine 2.0 Running Shoes For Men,"₹4,999","₹4,999"
191,Liberate Nitro 2 Running Shoes For Men,"₹3,999","₹10,999"
192,Cricket HighRun Cricket Shoes For Men,"₹5,499","₹1,979"
193,Scorch Runner V2 Running Shoes For Men,"₹7,999","₹2,399"
194,Puma Alfarun Hyperwave Sneakers For Men,"₹11,999","₹2,199"
195,Club II Year Of Sports Casuals For Men,"₹3,999","₹3,024"
196,X-Ray 3 Casuals For Men,"₹6,999","₹4,399"
197,PUMA Spike 22.1 Cricket Shoes For Men,NA,"₹5,640"
198,Zod Runner V3 IDP Casuals For Men,NA,"₹1,199"
199,Caven 2.0 Year of Sport Casuals For Men,NA,"₹3,849"
200,X-Ray Speed Casuals For Men,"₹6,999","₹3,849"
201,Bazin Running Shoes For Men,"₹3,999","₹1,999"
202,Trinity Mid Hybrid Casuals For Men,"₹8,999","₹4,949"
203,Puma Buzz Casuals For Men,"₹4,499","₹1,299"
204,PUMA Smash 3.0 Sneakers For Men,"₹5,499","₹3,024"
205,X-Ray 2 Square Casuals For Men,"₹7,999","₹4,399"
206,Puma Onehill Sneakers For Men,"₹4,299","₹2,088"
207,Puma level IDP Sneakers For Men,"₹4,299","₹2,004"
208,Mercedes-AMG Petronas F1 CA Pro Crush Casuals For Men,"₹8,999","₹4,949"
209,Coy Float Slip On Walking Shoes For Men,"₹4,499","₹2,339"
210,Disperse XT 3 Knit Training & Gym Shoes For Men,"₹5,999","₹3,599"
211,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,960"
212,KING MATCH FG/AG Football Shoes For Men,"₹7,999","₹4,399"
213,Rebound Abrupt Casuals For Men,"₹7,999","₹4,399"
214,Hustle V2 IDP Running Shoes For Men,"₹3,999","₹1,199"
215,Whisk V2 Casuals For Men,"₹4,299","₹2,579"
216,Explore Nitro Running Shoes For Men,"₹10,999","₹7,149"
217,Lite Pro v2 Casuals For Men,"₹3,999","₹1,799"
218,FlexFocus Lite Running Shoes For Men,"₹5,499","₹3,024"
219,PUMA Fireball Sneakers For Men,"₹4,299","₹2,235"
220,PUMA R78 SL Sneakers For Men,"₹4,999","₹2,999"
221,Puma Exotine 2.0 IDP Running Shoes For Men,"₹4,999","₹4,999"
222,R78 SL Sneakers For Men,"₹3,999","₹2,999"
223,Anzarun Lite SlipOn Sneakers For Men,"₹7,999","₹2,399"
224,Voltaic Evo Running Shoes For Men,"₹6,999","₹4,799"
225,Softride Enzo Evo Better Remix Walking Shoes For Men,"₹3,999","₹3,849"
226,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,947"
227,Zod Runner V3 IDP Casuals For Men,"₹3,999","₹2,399"
228,Hustle V2 Sneakers For Men,"₹7,999","₹1,199"
229,Trinity Sneakers For Men,"₹7,999","₹4,799"
230,Exotine 2.0 Running Shoes For Men,"₹4,999","₹4,999"
231,Liberate Nitro 2 Running Shoes For Men,"₹5,499","₹10,999"
232,X-Ray 3 Casuals For Men,"₹2,699","₹4,399"
233,Cricket Square Cricket Shoes For Men,"₹7,999","₹3,299"
234,PUMA Smash 3.0 Sneakers For Men,"₹11,999","₹3,024"
235,Essex Comfort Walking Shoes For Men,"₹6,999","₹1,299"
236,X-Ray 3 Casuals For Men,"₹3,999","₹4,399"
237,PUMA Spike 22.1 Cricket Shoes For Men,NA,"₹5,640"
238,Club 5v5 Sneakers For Men,NA,"₹3,290"
239,Puma Deuce Badminton Shoes For Men,NA,"₹2,199"
