ProductName,ProductPrice,ProductDiscount,Brand,Gender
EQ23 RUN W Running Shoes For Women,7599,3849,Adidas,Women
ULTRABOOST 22 W Running Shoes For Women,8599,10799,Adidas,Women
GALAXY STAR W Running Shoes For Women,3599,4559,Adidas,Women
RACER TR21 Running Shoes For Women,8999,3819,Adidas,Women
SheenWalk W Running Shoes For Women,13999,2519,Adidas,Women
RESPONSE SUPER 3.0 W Running Shoes For Women,7999,4629,Adidas,Women
ADIDAS SWITCH FWD W Running Shoes For Women,6999,7699,Adidas,Women
ULTRABOUNCE W Running Shoes For Women,13999,4399,Adidas,Women
AMPLIMOVE TRAINER W Training & Gym Shoes For Women,7599,4199,Adidas,Women
adizero ubersonic 4 W LanzaT Tennis Shoes For Women,9999,8399,Adidas,Women
PUREMOTION 2.0 Running Shoes For Women,6599,3889,Adidas,Women
HEAWYN Running Shoes For Women,4299,4389,Adidas,Women
RUNFALCON 3.0 W Running Shoes For Women,7999,3629,Adidas,Women
Street Stunner W Sneakers For Women,6599,3009,Adidas,Women
ADVANTAGE Sneakers For Women,9999,4799,Adidas,Women
GameCourt 2 W Tennis Shoes For Women,3629,3629,Adidas,Women
Running Shoes For Men (Multicolorcolor) Running Shoes F...,2699,1619,Adidas,Women
divoky mode W Running Shoes For Women,4799,2639,Adidas,Women
Ultraboost Light C.Rdy W Running Shoes For Women,25999,15599,Adidas,Women
PUREMOTION ADAPT 2.0 Running Shoes For Women,7599,3829,Adidas,Women
CH ROCKET Running Shoes For Women,11999,6839,Adidas,Women
Ford-Fit W Running Shoes For Women,8999,5999,Adidas,Women
ZX FLUX Sneakers For Women,9999,5219,Adidas,Women
Ford-Fwd W Running Shoes For Women,18999,5999,Adidas,Women
SUPERNOVA 3 W Running Shoes For Women,13999,5499,Adidas,Women
ULTRABOOST LIGHT W Running Shoes For Women,14999,8949,Adidas,Women
Superstar Ksenia Schnaider W Sneakers For Women,5999,8399,Adidas,Women
Solar Control W Running Shoes For Women,7999,8999,Adidas,Women
Tracefinder W Running Shoes For Women,7999,3599,Adidas,Women
TRACE60 W Running Shoes For Women,11999,4799,Adidas,Women
ADIDAS SWITCH MOVE W Running Shoes For Women,5599,5999,Adidas,Women
QUESTAR 2 W Running Shoes For Women,9599,4639,Adidas,Women
SUPERNOVA STRIDE W Running Shoes For Women,8999,7199,Adidas,Women
Ford-Up W Running Shoes For Women,3299,3079,Adidas,Women
EDGE LUX VI Running Shoes For Women,12999,4339,Adidas,Women
TUBULAR INVADER 2.0 Sneakers For Women,6999,5129,Adidas,Women
SweepIt W Running Shoes For Women,6999,2309,Adidas,Women
DROPSET 2 TRAINER W Training & Gym Shoes For Women,12999,7539,Adidas,Women
PUREMOTION ADAPT 2.0 Running Shoes For Women,5299,2859,Adidas,Women
Grand Court Beyond Tennis Shoes For Women,10999,3849,Adidas,Women
DROPSET 2 TRAINER W Training & Gym Shoes For Women,6599,7539,Adidas,Women
Powerthru W Walking Shoes For Women,18999,2914,Adidas,Women
Supernova W Running Shoes For Women,8999,6599,Adidas,Women
Ultraboost 22 W Running Shoes For Women,8599,11399,Adidas,Women
TUBULAR INVADER 2.0 Sneakers For Women,9999,5129,Adidas,Women
GRAND COURT ALPHA Tennis Shoes For Women,13999,5599,Adidas,Women
FLUIDFLOW 2.0 Running Shoes For Women,3599,4079,Adidas,Women
SOLARGLIDE 6 W Running Shoes For Women,8399,8399,Adidas,Women
Walking Shoes For Women,2159,2159,Adidas,Women
GRAND COURT 2.0 Tennis Shoes For Women,7999,3949,Adidas,Women
ULTIMAMOTION Sneakers For Women,5599,3359,Adidas,Women
H.Rdy W Running Shoes For Women,13999,8399,Adidas,Women
QUESTAR Running Shoes For Women,7999,4799,Adidas,Women
