ProductName,ProductPrice,ProductDiscount,Brand,Gender
Flipster IDP Casuals For Men,3999,1875,Puma,Men
FUTURE 7 MATCH TT Football Shoes For Men,7999,4399,Puma,Men
Puma Camo v3 Walking Shoes For Men,4499,2474,Puma,Men
Future Rider Twofold Sneakers For Men,6999,3639,Puma,Men
Softride Astro Slip Walking Shoes For Men,6999,3290,Puma,Men
Running Shoes For Men,10999,4499,Puma,Men
Explore Nitro Running Shoes For Men,3999,7149,Puma,Men
Lite Pro v2 Casuals For Men,9999,1799,Puma,Men
Genetics Basketball Shoes For Men,5999,5499,Puma,Men
Contempt Demi Remix Mesh Training & Gym Shoes For Men,4999,3599,Puma,Men
PUMA R78 SL Sneakers For Men,4299,2999,Puma,Men
Comp Walking Shoes For Men,4499,1823,Puma,Men
Hurdler IDP Walking Shoes For Men,3499,2399,Puma,Men
Smooth Walk Training & Gym Shoes For Men,3999,2159,Puma,Men
Puma Relax Knit Slip on Walking Shoes For Men,4499,2099,Puma,Men
Puma Grypease IDP Walking Shoes For Men,6499,1947,Puma,Men
Foam Stride Sneakers For Men,4299,2249,Puma,Men
Amare Fresh Running Shoes For Men,4999,3574,Puma,Men
Liberate Nitro 2 Running Shoes For Men,10999,10999,Puma,Men
Puma Ardent V1 Running Shoes For Men,11999,1823,Puma,Men
Badminton Smash Sprint Badminton Shoes For Men,7999,2499,Puma,Men
Caven 2.0 Abrupt Casuals For Men,9999,3574,Puma,Men
Puma Melanite Slip on Sneakers For Men,2019,2019,Puma,Men
Genetics Speckle Basketball Shoes For Men,5499,5499,Puma,Men
Park Lifestyle OG Casuals For Men,6999,3849,Puma,Men
Dexfly V1 Sneakers For Men,3999,2119,Puma,Men
Propel EL IDP Running Shoes For Men,3999,2079,Puma,Men
Wired Run Pure Sneakers For Men,5999,3599,Puma,Men
PUMA DISRIDE Casuals For Men,4299,2364,Puma,Men
Badminton Smash Sprint Badminton Shoes For Men,4999,2495,Puma,Men
Lyon IDP Walking Shoes For Men,3299,1849,Puma,Men
Feet Rodeo X2 Walking Shoes For Men,5499,1814,Puma,Men
Puma Wired Rapid Sneakers For Men,8999,2599,Puma,Men
Blktop Rider Leather Sneakers For Men,3999,4949,Puma,Men
Puma Grypease IDP Walking Shoes For Men,10999,1947,Puma,Men
Exotine 2.0 Running Shoes For Men,12999,4999,Puma,Men
Wild Rider Mid WS Sneakers For Men,7999,6049,Puma,Men
All Pro NITRO Basketball Shoes For Men,5499,7149,Puma,Men
X-Ray 3 Casuals For Men,3299,4399,Puma,Men
Smash 3.0 L Sneakers For Men,6499,3299,Puma,Men
Coarse Sneakers For Men,11999,1849,Puma,Men
Softride One4all Running Shoes For Men,4499,3574,Puma,Men
PUMA Spike 22.1 Cricket Shoes For Men,5499,5640,Puma,Men
Walk Max Walking Shoes For Men,2346,2346,Puma,Men
Puma Rock V2 Sneakers For Men,3299,3299,Puma,Men
