ProductName,ProductPrice,ProductDiscount,Brand,Gender
Summer Skipper - Optical Chill Casuals For Women,5499,4260,Skechers,Women
MAX CUSHIONING ARCH FIT - SWI Running Shoes For Women,9999,6999,Skechers,Women
MAX CUSHIONING ARCH FIT - VELOCITY Sneakers For Women,9999,7230,Skechers,Women
SKECH-AIR DYNAMIGHT-PARADISE Running Shoes For Women,5999,3519,Skechers,Women
Sepulveda Blvd - Envelop Slip On Sneakers For Women,5999,2609,Skechers,Women
BEACH BINGO - ROVERS Sneakers For Women,4499,2699,Skechers,Women
0N-THE-GO IDEAL - DA Sneakers For Women,6499,3529,Skechers,Women
GO WALK JOY-PARADISE Casuals For Women,5499,3299,Skechers,Women
GO WALK SMART 2 - UM Slip On Sneakers For Women,6499,5035,Skechers,Women
GO WARK ARCH FIT - H Walking Shoes For Women,8499,6585,Skechers,Women
ULTRA FLEX - RAPID ATTENTION Walking Shoes For Women,5999,4028,Skechers,Women
Ultra Flex 2.0 Walking Shoes For Women,5499,3692,Skechers,Women
GO WALK CLASSIC - HI Running Shoes For Women,5999,3599,Skechers,Women
ARCH FIT REFINE - DON'T GO Walking Shoes For Women,5999,3599,Skechers,Women
0N-THE-GO IDEAL - DA Walking Shoes For Women,6499,3499,Skechers,Women
BOBS SPARROW 2.0 - W Sneakers For Women,5999,3599,Skechers,Women
D'LITES-DAZZLING CAN Casuals For Women,7999,4789,Skechers,Women
BOBS SKIPPER - WOOF Canvas Shoes For Women,4799,2879,Skechers,Women
Walking Shoes For Women,5999,3309,Skechers,Women
Go Walk 6 - Glimmering Walking Shoes For Women,8499,5999,Skechers,Women
Skech-Air Extreme 2.0 New Remix Sneakers For Women,6999,4249,Skechers,Women
GLIDE-STEP SPORT-LIV Sneakers For Women,5999,4199,Skechers,Women
GO RUN ELEVATE - DOUBLE TIME Running Shoes For Women,4999,5999,Skechers,Women
GO RUN FAST-INVIGORATE Running Shoes For Women,6999,3599,Skechers,Women
